Distancia,wide,low,wide-low,low-wide
1.5,6704.812632600006,2218.330113141842,6005.1718865238145,3105.806349148865
2.0,6679.9603474021305,2085.3444314805565,5741.3677066780765,3359.3286123528524
2.5,6662.3201224206005,2003.0938387163446,5552.321771324725,3569.2506294185205
3.3,6557.004089479272,1877.5680864275741,5239.7917477535575,3758.2509371167903
4.3,6433.5705643930405,1789.6682822876562,4881.0057845086585,4046.75502509596
5.6,6423.230712610794,1751.865642140229,4667.18901039118,4450.833403925048
7.2,6182.577207963693,1581.5154745329955,3847.153479334421,4909.905416836523
9.4,5902.116834449713,1549.2654508690819,1593.6095186636476,5664.891723173296
12.0,5920.186504777606,1498.8265327164709,1498.8227942924752,6047.674581139437
15.5,5670.1879980462445,1427.981322316542,1428.0114228215361,5849.964744332185
20.0,5176.333034070336,1262.8674575989296,1262.8860648361426,5426.295505678201
26.0,4777.065145986059,1220.2937171713643,1220.3572633156034,5022.212135165291
