Distancia,wide,low,wide-low,low-wide
1.5,0.0,0.0,0.0,0.0
2.0,-2.61332942654402,-1.4768730817087032,-1.7528231330268227,-2.095500250079148
2.5,-4.194165471174795,-2.363690215515362,-2.715220708369486,-3.5278272935491586
3.3,-5.886876412208096,-2.949395436402135,-3.4341956917160523,-4.723091938499287
4.3,-7.3479569878308695,-3.6417915344189282,-4.003313594639174,-6.230998072162961
5.6,-8.375464637428873,-4.280653508543928,-4.605439702277408,-7.477856882438807
7.2,-10.080989097563751,-4.338037353099907,-4.818964235197825,-8.65631017251777
9.4,-10.79637096711981,-4.75801395338366,-5.26772015631834,-8.585492407639428
12.0,-11.746968062426166,-5.143179491323515,-5.651217416360424,-7.910366311213224
15.5,-12.840606581621262,-5.470969472238615,-5.979004239849864,-8.970837827762246
20.0,-13.999949397847121,-5.153650097014946,-5.661683608596178,-10.043904452409826
26.0,-14.873128712201545,-5.890383580112868,-6.398416978345132,-11.03674024254854
